ID;Category;Sub-Category-1;Sub-Category-2;Sub-Category-3;
d01cadfa-16f1-4160-a093-6b13d42d0c97;Antiques, Art & Collectibles;;;;
0c985783-e733-4443-998f-c671b255d9cf;Antiques, Art & Collectibles ; Antiques Over 100 Years Old;;;
cf738328-7857-433d-b280-bb648d3a0914;Antiques, Art & Collectibles ; Antiques Over 100 Years Old ; Antique;;
7cf7c67d-f56a-4511-8ed6-dfba78405212;Antiques, Art & Collectibles ; Antiques Over 100 Years Old ; Antique Furniture;;
e78ab515-94ee-4999-b75b-3e38c98120f5;Antiques, Art & Collectibles ; Antiques Over 100 Years Old ; Antique Furniture | wooden;;
d0aa56a5-52ee-4bfd-9054-fa6ef8d43fa1;Antiques, Art & Collectibles ; Antiques Over 100 Years Old ; Antique Silverware;;
06458c65-0b6c-4740-bf4b-526598726d9b;Antiques, Art & Collectibles ; Antiques Over 100 Years Old ; Antique | wooden;;
08e999b5-c974-4de7-b92f-89361bb417c7;Antiques, Art & Collectibles ; Artwork;;;
b7734636-1abd-46c8-b55e-2cd3567ae81f;Antiques, Art & Collectibles ; Artwork ; Original Art Work | collages & decorative plaques;;
31c1a2bb-2fe2-4630-a52f-51e09cf88ea7;Antiques, Art & Collectibles ; Artwork ; Original Art Work | engravings, prints & lithographs;;
df28b0f2-3958-4099-af7a-87cac2a708dc;Antiques, Art & Collectibles ; Artwork ; Original Art Work | paintings & drawings;;
82d4fc21-c0de-4527-bee0-56539548c752;Antiques, Art & Collectibles ; Artwork ; Original Art Work | sculptures & statuary;;
810dbc93-a57d-4f91-bebd-527baf19db6a;Antiques, Art & Collectibles ; Artwork ; Original Art Work | sculptures & statuary of gold;;
2e7e7d09-b38f-40cc-b9ac-12e998c02253;Antiques, Art & Collectibles ; Artwork ; Poster, Picture or Print;;
309b286e-246d-49ed-85ce-b23d815a6962;Antiques, Art & Collectibles ; Artwork ; Poster, Picture or Print | lithographic;;
ba3cfa4a-bf45-45f1-bb58-13c6d4ebf439;Antiques, Art & Collectibles ; Collectibles;;;
3be69a65-97ab-4b4c-abd2-89c754a34ec8;Antiques, Art & Collectibles ; Collectibles ; Classic Vehicle Part (unusable collectible);;
1df1296e-3c70-4f8d-bb1d-f6debb21bae8;Antiques, Art & Collectibles ; Collectibles ; Coin of numismatic  interest;;
5d07b7a4-f2df-4794-8b5f-f8a77927f64b;Antiques, Art & Collectibles ; Collectibles ; Collectible of historic / cultural interest;;
b2397e90-de25-4ff8-a2a6-ee9a26dfaf7e;Antiques, Art & Collectibles ; Collectibles ; Collectible of historic / cultural interest | containing animal products;;
5482382e-ef93-429d-8426-4651108c2f6a;Antiques, Art & Collectibles ; Collectibles ; Collectibles of wood;;
92e8b249-fa0f-4771-99fa-7c64c8e6858c;Antiques, Art & Collectibles ; Collectibles ; Collectibles of wood | botanical collections;;
2c45b337-cf12-4cc0-bde1-cc9896fd2720;Antiques, Art & Collectibles ; Collectibles ; Enamels on copper base;;
5ef6fc61-2d25-4534-80a2-57c5176d498a;Antiques, Art & Collectibles ; Collectibles ; Letters;;
0c7f4b1c-519f-4009-8255-02801efbc3c3;Antiques, Art & Collectibles ; Collectibles ; Medals - Gold;;
95f3b17a-d8a6-40e4-847a-6e8f2e17f64d;Antiques, Art & Collectibles ; Collectibles ; Medals - Silver;;
86b32755-d815-43c1-838b-808db48f63cb;Antiques, Art & Collectibles ; Collectibles ; Medals - other material than gold;;
06aee03a-656b-4585-8a3b-52b7ca274534;Antiques, Art & Collectibles ; Collectibles ; Medals of base metal;;
5c306db4-dfa0-4fed-b32e-031ff8281c69;Antiques, Art & Collectibles ; Collectibles ; Musical box;;
ba9323cb-90d7-4db4-a503-79f198c535b5;Antiques, Art & Collectibles ; Collectibles ; Original screen prints;;
279d4837-f1bf-46e4-8611-02b443794482;Antiques, Art & Collectibles ; Collectibles ; Photos & Images;;
ae329746-5950-4ccb-9f05-e2f0660579a9;Antiques, Art & Collectibles ; Collectibles ; Pin or Badge of base metal;;
b0a726aa-bdbe-4457-9f3f-733bec29707c;Antiques, Art & Collectibles ; Collectibles ; Postage Stamps: current and unused;;
a44e2ecc-5c2f-40c2-8c12-b89811aa980a;Antiques, Art & Collectibles ; Collectibles ; Postage Stamps: of philatelic Interest;;
ef0b6175-a43e-4ba1-8e56-60a814b35262;Antiques, Art & Collectibles ; Collectibles ; Postcards;;
4f0f5105-0ebd-4a1b-8f97-c5fccf5abd34;Antiques, Art & Collectibles ; Collectibles ; Posters;;
4edccfc3-2304-4008-9ea3-ddce120d52cb;Antiques, Art & Collectibles ; Collectibles ; Pre 1950 Motorvehicle Parts;;
38fcb886-84b1-43ff-912d-cfe0c53d877e;Antiques, Art & Collectibles ; Collectibles ; Printed Vintage Documents;;
86aadc7d-312c-4d61-a40b-bc95651e8f97;Antiques, Art & Collectibles ; Collectibles ; Statuettes and other ornaments- of wood;;
c4b20a55-6620-4774-a801-8a1155c04c23;Antiques, Art & Collectibles ; Collectibles ; Swords & Cutlasses;;
e66f5e63-b311-4c31-a0d6-3ee63f1185ed;Antiques, Art & Collectibles ; Collectibles ; Trophy;;
7024906f-ea25-46fc-a414-acc7aa0855f6;Bags & Accessories;;;;
b0eeea97-c3d4-4944-b03e-04f8e71dcb7b;Bags & Accessories ; Bags | bag accessories;;;
8d1de66e-9fa6-4776-b683-9ab8567828ae;Bags & Accessories ; Bags | bag accessories ; Aluminum luggage tag;;
672b7d5d-8f6f-497b-9422-994800ec0a57;Bags & Accessories ; Bags | bag accessories ; Bag / Phone Charm or Hanger of gold;;
7ee9c0dc-db2d-47e9-ad80-d2398c114287;Bags & Accessories ; Bags | bag accessories ; Bag / Phone Charm or Hanger of silver;;
0b758d95-6c30-4493-8bd2-aa257225a5f8;Bags & Accessories ; Bags | bag accessories ; Bag / Phone Charms & Hangers of Base Metal;;
01891da4-425a-4433-b9ea-d60102a91d01;Bags & Accessories ; Bags | bag accessories ; Bag / Phone Charms & Hangers of Base Metal Plated with Precious Metal;;
fceea350-f0f4-4c22-ad34-93f89c865aa1;Bags & Accessories ; Bags | bag accessories ; Bag / Phone Charms & Hangers of Plastic;;
2cc6bc08-c405-428e-a685-0b241572ed42;Bags & Accessories ; Bags | bag accessories ; Bag Accessory of knitted textile;;
4f68fe2c-b530-449d-9ddb-180553aa34cc;Bags & Accessories ; Bags | bag accessories ; Bag Accessory of woven textile;;
f3e1aa1a-c9b1-4e26-9a6c-7e34f791088e;Bags & Accessories ; Bags | bag accessories ; Leather Shoulder Strap;;
